Year,CABLE-POP,CARDAMOM,CLASSIC,CLM-FATES,CLM6.0,DLEM,E3SM,EDv3,ELM-FATES,GDSTEM,IBIS,ISAM,JSBACH,JULES,LPJ-EOSIM,LPJ-GUESS,LPJmL,LPX-Bern,ORCHIDEE,VISIT-UT
1830,0.286217082,,-1.938399449,-0.206864039,0.432795217,-0.672463836,0.529027331,0.047357046,-0.291962088,0.042113671,0.089480083,0.036553997,0.97655815,0.387210986,-0.05004489,0.21743277,-0.311128162,0.695160966,-0.233980243,0.758126019
1831,-1.3496302,,-1.753086196,0.483371519,-0.622605828,-0.472838133,-0.22916292,-0.22142561,-0.22442989,-0.920716002,-0.193628167,-0.836967664,-1.405751168,-0.687817168,0.318262354,-1.057187112,-1.451549724,-1.256286879,-0.650369704,-0.251799042
1832,1.478064686,,-0.659281211,-0.8412839,-0.337049924,-0.489357199,-0.34767794,0.697949626,0.28006267,-0.276441981,-0.386564847,-0.30442479,0.236341819,-0.43966027,0.294460025,-1.410029549,0.693647671,-0.73981428,-0.366818788,-0.861421634
1833,-0.627436767,,-0.948037848,0.006494181,-0.544732654,-0.350012371,0.051562632,-0.506603225,-0.150171664,-1.115246781,0.351297481,-0.212924743,-0.331900983,-0.236510372,0.176883712,-0.622603928,-1.309678713,-0.410472521,-0.042283538,0.39413615
1834,0.37715087,,-0.157555777,0.216360808,-0.373989663,-0.79873364,0.063110238,0.04424667,0.064672928,-0.953942661,-0.499299692,-0.265617348,0.823441492,-0.489199897,0.699492594,-0.906945357,1.051008757,-0.279221338,-0.05487679,-0.58953586
1835,-1.399623257,,-0.059959491,-0.653528017,-0.463099,0.863389624,-0.037409629,-0.764631127,-0.571412348,-0.001839419,-0.169184285,-1.288904804,0.251192865,-1.66970373,-0.035794576,-0.402475304,-1.256097691,-0.210278203,-0.40849704,-0.659318345
1836,0.279126151,,1.093897549,-0.649903881,-0.069830889,0.946739833,-0.41581265,-0.742669779,0.02508997,-0.873351739,-0.251781121,0.07463989,0.34449404,0.061206649,-0.213235051,-0.505328665,-0.903385531,-0.080874873,0.109227275,-0.21489945
1837,1.63437928,,-0.533009539,0.055470807,0.294176481,-0.430051018,0.549241512,0.852166481,0.057707691,0.167096184,-0.142740906,0.684091234,2.119518015,0.984255861,-0.08491257,0.740630021,-0.14114979,0.40944181,0.590617586,1.810457129
1838,-1.077360668,,-0.719583,0.840456873,-0.300206069,-1.355722465,0.522753583,-0.127366506,-0.572577778,-0.507789157,-0.488014568,0.128644595,-0.721580774,-0.185435544,0.253223122,-1.210907237,-0.078902269,-0.489670323,-0.53642407,-0.397171367
1839,-0.264986854,,-0.386420021,-0.394741129,-0.845207726,0.354039527,0.008444477,-0.279693639,-0.474693157,0.107803733,-0.300165893,-0.995364021,0.694322543,-1.43659962,0.011081941,-1.513229201,-1.224568826,-0.709219211,-0.559395377,-1.258909687
